game,window,gap_s,prev_time,prev_price,prev_ticker,curr_time,curr_price,curr_ticker
2025-Christmas-MIN-DEN,close_game(35-65c),38.3,2025-12-25 07:41:36.294444+00:00,0.5700,KXNBAGAME-25DEC25MINDEN-DEN,2025-12-25 07:42:14.608982+00:00,0.4500,KXNBAGAME-25DEC25MINDEN-MIN
2025-Christmas-MIN-DEN,close_game(35-65c),38.2,2025-12-24 19:57:27.717893+00:00,0.4200,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-24 19:58:05.879807+00:00,0.5900,KXNBAGAME-25DEC25MINDEN-DEN
2025-Christmas-MIN-DEN,close_game(35-65c),38.2,2025-12-24 20:22:21.946904+00:00,0.4200,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-24 20:23:00.139310+00:00,0.5900,KXNBAGAME-25DEC25MINDEN-DEN
2025-Christmas-MIN-DEN,close_game(35-65c),38.2,2025-12-25 03:01:26.984073+00:00,0.5700,KXNBAGAME-25DEC25MINDEN-DEN,2025-12-25 03:02:05.229948+00:00,0.4300,KXNBAGAME-25DEC25MINDEN-MIN
2026-Playoffs-GSW-LAC,close_game(35-65c),38.2,2026-04-14 03:24:47.454087+00:00,0.3600,KXNBAGAME-26APR15GSWLAC-GSW,2026-04-14 03:25:25.703088+00:00,0.3600,KXNBAGAME-26APR15GSWLAC-GSW
2025-Christmas-MIN-DEN,close_game(35-65c),38.2,2025-12-24 22:49:14.626435+00:00,0.4300,KXNBAGAME-25DEC25MINDEN-MIN,2025-12-24 22:49:52.803432+00:00,0.4300,KXNBAGAME-25DEC25MINDEN-MIN
2025-Christmas-MIN-DEN,close_game(35-65c),38.1,2025-12-24 18:19:38.270947+00:00,0.6000,KXNBAGAME-25DEC25MINDEN-DEN,2025-12-24 18:20:16.403773+00:00,0.4200,KXNBAGAME-25DEC25MINDEN-MIN
2026-Playoffs-GSW-LAC,close_game(35-65c),38.1,2026-04-14 20:28:37.281062+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW,2026-04-14 20:29:15.399223+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW
2026-Playoffs-GSW-LAC,close_game(35-65c),38.1,2026-04-15 05:48:25.111662+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW,2026-04-15 05:49:03.222699+00:00,0.3500,KXNBAGAME-26APR15GSWLAC-GSW
2025-Finals-G7-OKC-IND,close_game(35-65c),38.1,2025-06-17 04:36:52.477459+00:00,0.6500,KXNBAGAME-25JUN19OKCIND-OKC,2025-06-17 04:37:30.528472+00:00,0.3500,KXNBAGAME-25JUN19OKCIND-IND
